MID;TITLE;YEAR;GENRES
1876;Flickan som lekte med elden;2009;Drama,Mystery,Thriller,Crime,
1137;Flight of the Phoenix;2004;Drama,Adventure,Action,Thriller,
1248;Flightplan;2005;Drama,Action,Mystery,Thriller,
1507;Fly Me to the Moon;2008;Animation,Adventure,Family,
1400;Flyboys;2006;Drama,History,War,Adventure,Action,Romance,
1771;Footloose;2011;Comedy,Drama,Romance,Music,
2104;For Greater Glory: The True Story of Cristiada;2012;Drama,History,War,
2327;Force;2011;Drama,Action,Romance,Thriller,Crime,
1577;Forgetting Sarah Marshall;2008;Comedy,Drama,Romance,
1319;Four Brothers;2005;Drama,Action,Mystery,Thriller,Crime,
1103;Four Christmases;2008;Comedy,Drama,Romance,
1793;Foxcatcher;2014;Drama,Biography,Sport,
1825;Frankenweenie;2012;Comedy,Animation,Horror,Sci_Fi,Family,
950;Freaky Friday;2003;Comedy,Family,Fantasy,
1510;Fred Claus;2007;Comedy,Family,Fantasy,
977;Freddy vs. Jason;2003;Horror,Thriller,
2155;Free Birds;2013;Comedy,Animation,Adventure,Family,
1352;Free Zone;2005;Comedy,Drama,
1439;Freedom Writers;2007;Drama,Biography,Crime,
585;Frequency;2000;Drama,Sci_Fi,Thriller,Crime,
388;Frida;2002;Drama,Biography,Romance,
1545;Friday the 13th;2009;Horror,
389;From Hell;2001;Horror,Mystery,Thriller,
1839;From Paris with Love;2010;Action,Thriller,
1707;Frozen River;2008;Drama,Crime,
2191;Fun Size;2012;Comedy,Adventure,
1104;Fun with Dick and Jane;2005;Comedy,Crime,
1860;Funny People;2009;Comedy,Drama,
1300;Fur: An Imaginary Portrait of Diane Arbus;2006;Drama,Biography,Romance,
2292;Furious 6;2013;Action,Thriller,Crime,
2490;Furious Seven;2015;Action,Thriller,Crime,
2481;Fury;2014;Drama,War,Action,
2116;G.I. Joe: Retaliation;2013;Adventure,Sci_Fi,Action,Thriller,
1161;G.O.R.A.;2004;Comedy,Adventure,Sci_Fi,
2410;Gabbar Singh;2012;Comedy,Action,
1643;Gake no ue no Ponyo;2008;Animation,Family,Fantasy,
1747;Gamer;2009;Sci_Fi,Action,Thriller,
648;Gangs of New York;2002;Drama,History,Crime,
1955;Gangster Squad;2013;Drama,Action,Thriller,Crime,
988;Garden State;2004;Comedy,Drama,Romance,
1407;Garfield: A Tail of Two Kitties;2006;Comedy,Family,Fantasy,
