MID;TITLE;YEAR
586;Space Cowboys;2000
587;Gone in Sixty Seconds;2000
588;The Patriot;2000
589;Blade II;2002
590;Price of Glory;2000
591;Gojira ni-sen mireniamu;1999
592;The Whole Nine Yards;2000
593;Wo hu cang long;2000
594;Dungeons & Dragons;2000
595;O Brother, Where Art Thou?;2000
596;Gekijô-ban poketto monsutâ - Myûtsû no gyakushû;1998
597;Vertical Limit;2000
598;The Replacements;2000
599;28 Days;2000
600;Urban Legends: Final Cut;2000
601;Birds of Passage;2001
602;U.S. Seals;2000
603;Erin Brockovich;2000
604;Final Destination;2000
605;Samsara;2001
606;Zoolander;2001
607;Monsters, Inc.;2001
608;In the Cut;2003
609;Red Planet;2000
610;Riding in Cars with Boys;2001
611;Coyote Ugly;2000
612;Rock Star;2001
613;The Way of the Gun;2000
614;Moulin Rouge!;2001
615;Men of Honor;2000
616;Boys and Girls;2000
617;Exorcist: The Beginning;2004
618;Bring It On;2000
619;Deuce Bigalow: Male Gigolo;1999
620;Dr. T & the Women;2000
621;Save the Last Dance;2001
622;Joy Ride;2001
623;Children of Men;2006
624;What Women Want;2000
625;Big Momma's House;2000
626;Snatch;2000
627;The Contender;2000
628;Get Carter;2000
629;Memento;2000
630;The Mummy Returns;2001
631;The Wedding Planner;2001
632;The Cell;2000
633;Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan;1999
634;Remember the Titans;2000
635;102 Dalmatians;2000
636;Jason X;2001
637;Le fabuleux destin d'Amélie Poulain;2001
638;Awake;2007
639;Meet the Parents;2000
640;Miss Congeniality;2000
641;Artificial Intelligence: AI;2001
642;Hannibal;2001
643;Pearl Harbor;2001
644;Rugrats in Paris: The Movie - Rugrats II;2000
645;Road Trip;2000
646;Enemy at the Gates;2001
647;The 6th Day;2000
648;Gangs of New York;2002
649;Loser;2000
650;Unbreakable;2000
651;Ringu 2;1999
652;Antitrust;2001
653;Original Sin;2001
654;The Family Man;2000
655;Dracula 2000;2000
656;The Gift;2000
657;The Kid;2000
658;Bandits;2001
659;The Tigger Movie;2000
660;Halloween: Resurrection;2002
661;Blow;2001
662;Ayurveda: Art of Being;2001
663;Tupac Shakur: Words Never Die;1997
664;The Score;2001
665;Spy Kids;2001
666;Proof of Life;2000
667;Book of Shadows: Blair Witch 2;2000
668;Atlantis: The Lost Empire;2001
669;Bedazzled;2000
670;The Others;2001
671;Crocodile Dundee in Los Angeles;2001
672;Down to Earth;2001
673;The Fast and the Furious;2001
674;Collateral Damage;2002
675;The Matrix Reloaded;2003
676;Wicked Spring;2002
677;Gekijô-ban poketto monsutâ: Kesshô-tô no teiô;2000
678;Ringu 0: Bâsudei;2000
679;The Original Kings of Comedy;2000
680;The Mexican;2001
681;The Tailor of Panama;2001
682;Le pacte des loups;2001
683;Captain Corelli's Mandolin;2001
684;Equilibrium;2002
685;Queen of the Damned;2002
686;Cats & Dogs;2001
687;Dr. Dolittle 2;2001
688;Ocean's Eleven;2001
689;Serendipity;2001
690;Vanity Fair;2004
691;Chocolat;2000
692;Harry Potter and the Sorcerer's Stone;2001
693;Dude, Where's My Car?;2000
694;Exit Wounds;2001
695;The Matrix Revolutions;2003
696;Valentine;2001
697;Bridget Jones's Diary;2001
